name,meanRngeFlt,hue,sat,meanG,integrated density,medianG,medLum,meanLum,,,
latkes.jpg',23.900784,0.15195999,0.4459396,105.912,26478024,104,108,109.058,,,
lentilSoup.jpg',28.525956,0.186055167,0.438387748,162.898,40724600,160,165,166.372,,,
lunchables.jpg',13.13024667,0.294982335,0.413252965,125.589,31397164,123,124,126.872,,,
macAndCheese.jpg',14.07384933,0.170362386,0.540596661,128.136,32033994,125,141,139.6,,,
mashedPotatosGravy.jpg',17.64068667,0.316319418,0.420727077,145.755,36438671,142,156,154.126,,,
matzoBallSoupEdited.jpg',16.563256,0.290763983,0.362557856,163.958,40989382,173,178,169.625,,,
mcDchickenNuggs.jpg',16.22083333,0.269567626,0.410136237,160.607,40151655,170,183,167.148,,,
meatBallSub.jpg',24.422208,0.18793319,0.441778026,150.806,37701507,157,163,152.957,,,
meatloafDinner.jpg',27.26528533,0.195983641,0.461574854,150.007,37501740,153,161,155.495,,,
minestroneSoup.jpg',24.09931867,0.206201464,0.465776866,137.994,34498434,140,143,138.326,,,
movieTheaterPopcorn.jpg',26.80124133,0.282288255,0.566685093,124.548,31136936,131,150,132.896,,,
mozzerellaSticks.jpg',22.810072,0.199938427,0.545903583,148.429,37107356,145,154,152.367,,,
nachos.jpg',37.68391733,0.169033681,0.503620308,140.959,35239770,147,165,147.768,,,
omeletteToast.jpg',18.08425067,0.401779171,0.490926573,144.929,36232145,123,128,148.379,,,
pastaSalad.jpg',39.031324,0.16657993,0.625350796,115.281,28820329,116,129,123.059,,,
penneVodka.jpg',29.29487733,0.186373663,0.492595097,121.606,30401431,119,124,125.445,,,
phillyCheeseSteak.jpg',44.09021067,0.307003414,0.427161819,130.897,32724257,140,144,134.33,,,
pigsInBlanket.jpg',18.40118533,0.308425951,0.365848076,143.218,35804490,150,154,144.662,,,
pizza3.jpg',49.51791733,0.093543884,0.550493189,121.076,30268928,120,120,122.267,,,
poboy.jpg',25.76597067,0.205616692,0.519232879,155.466,38866585,162,175,166.361,,,
porkchop.jpg',31.62087467,0.10767367,0.720980437,94.582,23645398,77,84,100.48,,,
porkChopDInner.jpg',26.80675067,0.287645828,0.413568148,154.705,38676246,166,177,162.846,,,
potatoSoup.jpg',21.750704,0.166697648,0.393922555,161.564,40390887,181,191,168.373,,,
potRoast.jpg',40.76915333,0.207970581,0.578509278,98.995,24748655,86,90,102.475,,,
quesadillas.jpg',32.595404,0.17691619,0.575323717,148.094,37023554,153,169,156.956,,,
quiche.jpg',22.98443067,0.279876073,0.318438502,165.477,41369265,178,187,172.186,,,
ramen.jpg',33.49799467,0.232074011,0.384077605,149.381,37345191,151,164,153.727,,,
ribs.jpg',51.90081333,0.208313602,0.590089216,102.415,25603720,88,91,103.129,,,
risotto.jpg',27.85652533,0.461397501,0.403138119,147.096,36774059,155,171,151.293,,,
roastBeefSandwich.jpg',25.835004,0.373095532,0.352808548,143.518,35879378,150,149,142.608,,,
salmonRiceAsparagus.jpg',38.31291067,0.299516913,0.405847127,137.006,34251425,132,146,143.346,,,
sausageOnionsPeppers.jpg',36.62859067,0.138752136,0.672823809,101.007,25251809,98,103,105.13,,,
scrambledEggToast.jpg',19.194872,0.259631695,0.403125361,187.419,46854837,192,211,199.27,,,
sloppyJoe.jpg',22.68325333,0.243544114,0.386361587,173.242,43310405,182,193,178.756,,,
spaghetti.jpg',19.361432,0.254889735,0.378182201,162.908,40726911,179,184,165.937,,,
spaghettiAndMeatballs.jpg',40.60224667,0.115307419,0.61614795,128.082,32020418,123,129,132.773,,,
spaghettiSquash.jpg',32.16199467,0.197606475,0.549636601,138.011,34502691,136,156,149.46,,,
spamSeaweed.jpg',27.303744,0.256423433,0.288818971,136.352,34088120,152,155,138.44,,,
steakPotatosGreenBeans.jpg',45.23992667,0.2171846,0.518811695,100.44,25110038,86,96,108.578,,,
sushi.jpg',30.63989333,0.279925332,0.329031876,132.664,33166023,148,154,136.336,,,
sweetPotatoFries.jpg',30.49425333,0.250925011,0.427840744,157.367,39341820,160,169,160.701,,,
tacos.jpg',26.61550533,0.156019451,0.572463289,134.767,33691847,140,163,147.825,,,
tatertots2.jpg',21.41207867,0.172140573,0.595723334,142.411,35602857,139,160,154.213,,,
tofuStirFry.jpg',40.41839467,0.118767083,0.599400178,96.81,24202606,85,92,102.411,,,
tomatoSoup.jpg',6.830550667,0.105930826,0.717590162,116.653,29163147,110,106,113.967,,,
tomatoSoupFin.jpg',13.61254267,0.187698847,0.681019039,123.726,30931446,114,111,120.274,,,
topRamen.jpg',43.998716,0.441966996,0.521261011,109.389,27347187,103,101,107.958,,,
tunaCasserole.jpg',22.09517333,0.188840867,0.419822247,150.001,37500237,157,169,158.785,,,
tunaSalad.jpg',35.20229867,0.289996376,0.245374988,133.868,33467094,144,148,137.449,,,
turkeySandwhich.jpg',15.84257467,0.284025118,0.254048175,157.43,39357572,175,182,162.572,,,
turkeyStuffingCranGreenBeansPotatos.jpg',22.963836,0.246011681,0.397054469,128.397,32099254,138,146,134.317,,,
wings.jpg',32.22217333,0.175318467,0.63825978,119.58,29894966,113,124,127.099,,,
wontonSoup.jpg',12.86053467,0.151409915,0.435884506,148.827,37206730,153,157,153.01,,,
